questions,answers
How will I know if I’m getting enough vitamin D?,"Many people do not get enough vitamin D. If your ob-gyn or other obstetric care provider thinks you may have low levels of vitamin D, a test can be done to check the level in your blood. If it is below normal, you may need to take a vitamin D supplement."
What is choline?,Choline plays a role in your fetus’s brain development. It also may help prevent some common birth defects. Experts recommend that pregnant women get 450 mg of choline each day.
What foods contain choline?,"Choline can be found in chicken, beef, eggs, milk, soy products, and peanuts. Although the body produces some choline on its own, it doesn’t make enough to meet all your needs while you are pregnant. It’s important to get choline from your diet because it is not found in most prenatal vitamins."
What are omega-3 fatty acids?,Omega-3 fatty acids are a type of fat found naturally in many kinds of fish. Omega-3s may be important for brain development before and after birth.
How much fish should I eat to get the omega-3 fatty acids that I need?,"Women should eat at least two servings of fish or shellfish per week before getting pregnant, while pregnant, and while breastfeeding. A serving of fish is 8 to 12 ounces (oz)."
Which types of fish should I avoid?,"Some types of fish have higher levels of mercury than others. Mercury is a metal that has been linked to birth defects. Do not eat bigeye tuna, king mackerel, marlin, orange roughy, shark, swordfish, or tilefish. Limit white (albacore) tuna to only 6 oz a week. You also should check advisories about fish caught in local waters."
What other foods contain omega-3 fatty acids?,"Flaxseed (ground or as oil) is a good source of omega-3s. Other sources of omega-3s include broccoli, cantaloupe, kidney beans, spinach, cauliflower, and walnuts."
What are B vitamins?,"B vitamins, including B1, B2, B6, B9, and B12, are key nutrients during pregnancy. These vitamins:Give you energySupply energy for your fetus’s developmentPromote good visionHelp build the placenta"
What can I eat to get enough B vitamins?,"Your prenatal vitamin should have the right amount of B vitamins that you need each day. Eating foods high in B vitamins is a good idea too, including liver, pork, chicken, bananas, beans, and whole-grain cereals and breads."
What is vitamin C?,"Vitamin C is important for a healthy immune system. It also helps build strong bones and muscles. During pregnancy, you should get at least 85 mg of vitamin C each day if you are older than 19, and 80 mg if you are younger than 19."
What foods contain vitamin C?,"You can get the right amount of vitamin C in your daily prenatal vitamin, and also from citrus fruits and juices, strawberries, broccoli, and tomatoes."
How can I get enough water during pregnancy?,"Drink throughout the day, not just when you are thirsty. Aim for 8 to 12 cups of water a day during pregnancy."
How can I plan healthy meals during pregnancy?,"There are many tools that can help you plan healthy meals. One useful tool is the MyPlate food-planning guide from the U.S. Department of Agriculture. The MyPlate website, www.choosemyplate.gov, can help you learn how to make healthy food choices at every meal.The MyPlate website offers a MyPlate Plan, which shows how much to eat based on how many calories you need each day. The MyPlate Plan is personalized based on your:HeightPrepregnancy weightPhysical activity levelThe MyPlate Plan can help you learn about choosing foods from each food group to get the vitamins and minerals you need during pregnancy. The MyPlate Plan also can help you limit calories from added sugars and saturated fats."
What are the five food groups?,GrainsFruitsVegetablesProtein foodsDairy foods
What are grains?,"Bread, pasta, oatmeal, cereal, and tortillas are all grains. Whole grains are those that haven’t been processed and include the whole grain kernel. Oats, barley, quinoa, brown rice, and bulgur are all whole grains, as are products made with those grains. Look for the words “whole grain” on the product label. When you plan meals, make half of your grain servings whole grains."
What types of fruit should I eat?,"You can eat fresh, canned, frozen, or dried fruit. Juice that is 100 percent fruit juice also counts in the fruit category. Make half your plate fruit and vegetables during mealtimes."
What types of vegetables should I eat?,"You can eat raw, canned, frozen, or dried vegetables or drink 100 percent vegetable juice. Use dark leafy greens to make salads. Make half your plate fruit and vegetables during mealtimes."
What are protein foods?,"Meat, poultry, seafood, beans and peas, eggs, processed soy products, nuts, and seeds all contain protein. Eat a variety of protein each day."
What are dairy foods?,"Milk and milk products, such as cheese, yogurt, and ice cream, make up the dairy group. Make sure any dairy foods you eat are pasteurized. Choose fat-free or low-fat (1 percent) varieties."
What part do oils and fats play in a healthy eating plan?,"Oils and fats are another part of healthy eating. Although they are not a food group, they do give you important nutrients. During pregnancy, the fats that you eat provide energy and help build the placenta and many fetal organs."
What are healthy sources of oils and fats?,"Oils in food come mainly from plant sources, such as olive oil, nut oils, and grapeseed oil. They also can be found in certain foods, such as some fish, avocados, nuts, and olives. Most of the fats and oils in your diet should come from plant sources. Limit solid fats, such as those from animal sources. Solid fats also can be found in processed foods."
How much weight should I gain during pregnancy?,"Weight gain depends on your health and your body mass index (BMI) before you were pregnant. If you were underweight before pregnancy, you should gain more weight than a woman who had a normal weight before pregnancy. If you were overweight or obese before pregnancy, you should gain less weight. The amount of weight gain differs by trimester:See the below table for recommended weight gain during pregnancy.Weight Gain During PregnancyLess than 18.5 (underweight)1.0 to 1.328 to 40Not known18.5 to 24.9 (normal weight)0.8 to 1.025 to 3537 to 5425.0 to 29.9 (overweight)0.5 to 0.715 to 2531 to 5030.0 and above (obese)0.4 to 0.611 to 2025 to 42*Assumes a first-trimester weight gain between 1.1 and 4.4 poundsSource: Institute of Medicine and National Research Council. 2009. Weight Gain During Pregnancy: Reexamining the Guidelines. Washington, DC: The National Academies Press."
How many extra calories should I eat?,"During the first trimester with one fetus, usually no extra calories are needed. In the second trimester, you will need an extra 340 calories per day, and in the third trimester, about 450 extra calories a day. To get the extra calories during the day, have healthy snacks on hand, such as nuts, yogurt, and fresh fruit."
How can being overweight or obese cause problems during pregnancy?,"Excess weight during pregnancy is associated with several pregnancy and childbirth complications, including:High blood pressurePreeclampsiaPreterm birthGestational diabetesObesity during pregnancy also increases the risk of:MacrosomiaBirth injuryCesarean birthBirth defects, especially NTDs"
What if I am obese or overweight?,"You and your ob-gyn or other obstetric care provider will work together to develop a nutrition and exercise plan. If you are gaining less than what the guidelines suggest, and if your fetus is growing well, gaining less than the recommended guidelines can have benefits. If your fetus is not growing well, changes may need to be made to your diet and exercise plan."
Glossary,"Birth Defects: Physical problems that are present at birth.Body Mass Index: A number calculated from height and weight. BMI is used to determine whether a person is underweight, normal weight, overweight, or obese.
Calories: Units of heat used to express the fuel or energy value of food.Cesarean Birth: Birth of a fetus from the uterus through an incision (cut) made in the woman’s abdomen.Complications: Diseases or conditions that happen as a result of another disease or condition. An example is pneumonia that occurs as a result of the flu. A complication also can occur as a result of a condition, such as pregnancy. An example of a pregnancy complication is preterm labor.Fetus: The stage of human development beyond 8 completed weeks after fertilization.Folic Acid: A vitamin that reduces the risk of certain birth defects when taken before and during pregnancy.Gestational Diabetes: Diabetes that starts during pregnancy.High Blood Pressure: Blood pressure above the normal level. Also called hypertension.Macrosomia: A condition in which a fetus grows more than expected, often weighing more than 8 pounds and 13 ounces (4,000 grams).Neural Tube Defects: Birth defects that result from a problem in development of the brain, spinal cord, or their coverings.Obstetric Care Provider: A health care professional who cares for a woman during pregnancy, labor, and delivery. These professionals include obstetrician–gynecologists (ob-gyns), certified nurse–midwives (CNMs), maternal–fetal medicine specialists (MFMs), and family practice doctors with experience in maternal care.Obstetrician–Gynecologist (Ob-Gyn): A doctor with special training and education in women’s health.Oxygen: An element that we breathe in to sustain life.Placenta: An organ that provides nutrients to and takes waste away from the fetus.Preeclampsia: A disorder that can occur during pregnancy or after childbirth in which there is high blood pressure and other signs of organ injury. These signs include an abnormal amount of protein in the urine, a low number of platelets, abnormal kidney or liver function, pain over the upper abdomen, fluid in the lungs, or a severe headache or changes in vision.Preterm: Less than 37 weeks of pregnancy.Trimester: A 3-month time in pregnancy. It can be first, second, or third."
